INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
30x4_2_U_10_100__R_uni;235;238.0;244.2;0.01;0.04
20x6_3_U_100_200__R_inter;436;443.0;448.3;0.02;0.03
25x2_5_U_100_200__R_uni;1967;1820.0;1828.7;-0.07;-0.07
30x4_2_U_10_100__R_inter;195;195.0;198.3;0.00;0.02
25x4_1_JobCorre_R_inter;355;346.0;350.7;-0.03;-0.01
25x2_2_U_1_100__R_uni;565;560.0;564.1;-0.01;-0.00
20x6_1_U_1_100__R_inter;75;77.0;81.1;0.03;0.08
20x4_4_U_1_100__R_uni;137;142.0;143.5;0.04;0.05
30x2_5_U_10_100__R_uni;515;507.0;521.4;-0.02;0.01
20x4_2_U_100_200__R_uni;614;616.0;626.9;0.00;0.02
25x2_2_U_10_100__R_uni;629;627.0;631.1;-0.00;0.00
30x4_1_JobCorre_R_inter;421;406.0;412.1;-0.04;-0.02
20x2_1_JobCorre_R_uni;559;552.0;552.8;-0.01;-0.01
20x2_2_U_100_200__R_uni;1393;1391.0;1398.5;-0.00;0.00
25x2_4_U_100_200__R_inter;1733;1668.0;1707.8;-0.04;-0.01
20x6_5_JobCorre_R_uni;203;218.0;219.9;0.07;0.08
25x2_3_U_1_100__R_inter;414;409.0;420.5;-0.01;0.02
30x6_4_U_10_100__R_uni;122;133.0;139.1;0.09;0.14
30x6_4_JobCorre_R_inter;359;339.0;347.7;-0.06;-0.03
30x4_5_JobCorre_R_inter;351;367.0;371.3;0.05;0.06
30x6_1_U_1_100__R_inter;74;77.0;80.2;0.04;0.08
25x6_2_U_1_100__R_uni;91;93.0;106.5;0.02;0.17
25x2_3_U_100_200__R_inter;1641;1641.0;1644.1;0.00;0.00
25x2_2_U_10_100__R_inter;859;879.0;893.5;0.02;0.04
25x6_3_U_100_200__R_inter;530;530.0;531.7;0.00;0.00
30x4_3_U_100_200__R_uni;937;925.0;936.1;-0.01;-0.00
30x4_1_JobCorre_R_uni;371;384.0;387.5;0.04;0.04
30x4_3_U_10_100__R_inter;232;232.0;233.2;0.00;0.01
30x2_2_MachCorre_R_inter;725;697.0;698.7;-0.04;-0.04
30x2_1_U_1_100__R_inter;701;661.0;669.6;-0.06;-0.04
25x2_1_U_100_200__R_inter;1858;1847.0;1869.0;-0.01;0.01
30x4_3_MachCorre_R_inter;193;208.0;210.3;0.08;0.09
30x2_4_JobCorre_R_uni;892;868.0;874.8;-0.03;-0.02
20x2_1_U_1_100__R_uni;343;347.0;347.8;0.01;0.01
30x6_4_U_1_100__R_uni;82;83.0;90.5;0.01;0.10
20x6_3_U_1_100__R_uni;62;67.0;75.4;0.08;0.22
25x6_1_MachCorre_R_uni;88;95.0;100.8;0.08;0.15
30x6_1_JobCorre_R_uni;287;276.0;282.3;-0.04;-0.02
30x6_5_U_1_100__R_inter;89;89.0;94.0;0.00;0.06
20x2_3_U_10_100__R_uni;451;445.0;458.8;-0.01;0.02
25x6_4_U_1_100__R_inter;58;58.0;63.2;0.00;0.09
20x4_5_U_10_100__R_uni;159;165.0;168.3;0.04;0.06
30x6_2_U_1_100__R_inter;88;88.0;98.2;0.00;0.12
20x6_5_U_10_100__R_inter;88;88.0;90.7;0.00;0.03
25x6_3_JobCorre_R_inter;231;232.0;234.0;0.00;0.01
20x4_5_JobCorre_R_inter;297;285.0;289.6;-0.04;-0.02
30x6_5_JobCorre_R_uni;302;320.0;322.9;0.06;0.07
25x6_1_U_10_100__R_inter;104;104.0;116.4;0.00;0.12
25x6_3_U_10_100__R_uni;115;115.0;124.4;0.00;0.08
20x4_1_U_10_100__R_uni;149;152.0;157.8;0.02;0.06
30x2_1_MachCorre_R_uni;861;834.0;838.6;-0.03;-0.03
25x4_3_MachCorre_R_inter;648;650.0;661.4;0.00;0.02
25x6_2_U_100_200__R_uni;566;551.0;559.3;-0.03;-0.01
25x4_4_U_100_200__R_uni;780;784.0;792.2;0.01;0.02
30x6_5_MachCorre_R_uni;173;186.0;189.3;0.08;0.09
20x6_3_U_10_100__R_inter;86;87.0;89.5;0.01;0.04
20x4_4_JobCorre_R_uni;292;300.0;303.5;0.03;0.04
25x2_2_MachCorre_R_uni;760;763.0;766.6;0.00;0.01
20x4_4_U_100_200__R_uni;692;653.0;658.2;-0.06;-0.05
20x4_5_U_100_200__R_uni;639;631.0;635.3;-0.01;-0.01
25x4_1_U_100_200__R_uni;815;818.0;824.2;0.00;0.01
30x6_4_MachCorre_R_uni;357;354.0;355.9;-0.01;-0.00
25x4_2_U_100_200__R_uni;823;784.0;787.6;-0.05;-0.04
30x6_5_U_100_200__R_inter;600;601.0;607.4;0.00;0.01
20x2_2_MachCorre_R_inter;318;318.0;318.0;0.00;0.00
20x2_1_MachCorre_R_inter;670;679.0;690.3;0.01;0.03
20x2_4_MachCorre_R_inter;200;200.0;200.0;0.00;0.00
30x4_4_U_10_100__R_inter;194;194.0;198.4;0.00;0.02
25x6_5_MachCorre_R_inter;170;179.0;184.8;0.05;0.09
20x4_2_MachCorre_R_inter;387;388.0;389.5;0.00;0.01
