Instance;min sol
25x2_1_JobCorre_R_uni;721
25x2_1_MachCorre_R_inter;1563
25x2_1_MachCorre_R_uni;248
25x2_1_U_1_100__R_inter;632
25x2_1_U_1_100__R_uni;432
25x2_1_U_10_100__R_inter;677
25x2_1_U_10_100__R_uni;524
25x2_1_U_100_200__R_inter;1858
25x2_1_U_100_200__R_uni;1783
25x2_2_JobCorre_R_inter;785
25x2_2_JobCorre_R_uni;824
25x2_2_MachCorre_R_inter;1266
25x2_2_MachCorre_R_uni;760
25x2_2_U_1_100__R_inter;807
25x2_2_U_1_100__R_uni;565
25x2_2_U_10_100__R_inter;859
25x2_2_U_10_100__R_uni;629
25x2_2_U_100_200__R_inter;2138
25x2_2_U_100_200__R_uni;1816
25x2_3_JobCorre_R_inter;1009
25x2_3_JobCorre_R_uni;722
25x2_3_MachCorre_R_inter;185
25x2_3_MachCorre_R_uni;639
25x2_3_U_1_100__R_inter;414
25x2_3_U_1_100__R_uni;500
25x2_3_U_10_100__R_inter;485
25x2_3_U_10_100__R_uni;580
25x2_3_U_100_200__R_inter;1641
25x2_3_U_100_200__R_uni;1804
25x2_4_JobCorre_R_inter;846
25x2_4_JobCorre_R_uni;685
25x2_4_MachCorre_R_inter;324
25x2_4_MachCorre_R_uni;568
25x2_4_U_1_100__R_inter;544
25x2_4_U_1_100__R_uni;388
25x2_4_U_10_100__R_inter;594
25x2_4_U_10_100__R_uni;479
25x2_4_U_100_200__R_inter;1733
25x2_4_U_100_200__R_uni;1688
25x2_5_JobCorre_R_inter;894
25x2_5_JobCorre_R_uni;768
25x2_5_MachCorre_R_inter;1259
25x2_5_MachCorre_R_uni;1099
25x2_5_U_1_100__R_inter;490
25x2_5_U_1_100__R_uni;576
25x2_5_U_10_100__R_inter;577
25x2_5_U_10_100__R_uni;647
25x2_5_U_100_200__R_inter;1805
25x2_5_U_100_200__R_uni;1967
25x4_1_JobCorre_R_inter;355
25x4_1_JobCorre_R_uni;427
25x4_1_MachCorre_R_inter;286
25x4_1_MachCorre_R_uni;145
25x4_1_U_1_100__R_inter;132
25x4_1_U_1_100__R_uni;169
25x4_1_U_10_100__R_inter;175
25x4_1_U_10_100__R_uni;199
25x4_1_U_100_200__R_inter;757
25x4_1_U_100_200__R_uni;815
25x4_2_JobCorre_R_inter;414
25x4_2_JobCorre_R_uni;418
25x4_2_MachCorre_R_inter;180
25x4_2_MachCorre_R_uni;323
25x4_2_U_1_100__R_inter;115
25x4_2_U_1_100__R_uni;130
25x4_2_U_10_100__R_inter;164
25x4_2_U_10_100__R_uni;173
25x4_2_U_100_200__R_inter;752
25x4_2_U_100_200__R_uni;823
25x4_3_JobCorre_R_inter;362
25x4_3_JobCorre_R_uni;328
25x4_3_MachCorre_R_inter;648
25x4_3_MachCorre_R_uni;348
25x4_3_U_1_100__R_inter;127
25x4_3_U_1_100__R_uni;154
25x4_3_U_10_100__R_inter;170
25x4_3_U_10_100__R_uni;201
25x4_3_U_100_200__R_inter;752
25x4_3_U_100_200__R_uni;797
25x4_4_JobCorre_R_inter;409
25x4_4_JobCorre_R_uni;381
25x4_4_MachCorre_R_inter;205
25x4_4_MachCorre_R_uni;163
25x4_4_U_1_100__R_inter;142
25x4_4_U_1_100__R_uni;162
25x4_4_U_10_100__R_inter;188
25x4_4_U_10_100__R_uni;209
25x4_4_U_100_200__R_inter;781
25x4_4_U_100_200__R_uni;780
25x4_5_JobCorre_R_inter;330
25x4_5_JobCorre_R_uni;390
25x4_5_MachCorre_R_inter;240
25x4_5_MachCorre_R_uni;365
25x4_5_U_1_100__R_inter;151
25x4_5_U_1_100__R_uni;206
25x4_5_U_10_100__R_inter;198
25x4_5_U_10_100__R_uni;245
25x4_5_U_100_200__R_inter;784
25x4_5_U_100_200__R_uni;885
25x6_1_JobCorre_R_inter;236
25x6_1_JobCorre_R_uni;222
25x6_1_MachCorre_R_inter;154
25x6_1_MachCorre_R_uni;88
25x6_1_U_1_100__R_inter;74
25x6_1_U_1_100__R_uni;71
25x6_1_U_10_100__R_inter;104
25x6_1_U_10_100__R_uni;102
25x6_1_U_100_200__R_inter;534
25x6_1_U_100_200__R_uni;538
25x6_2_JobCorre_R_inter;181
25x6_2_JobCorre_R_uni;188
25x6_2_MachCorre_R_inter;191
25x6_2_MachCorre_R_uni;211
25x6_2_U_1_100__R_inter;89
25x6_2_U_1_100__R_uni;91
25x6_2_U_10_100__R_inter;124
25x6_2_U_10_100__R_uni;126
25x6_2_U_100_200__R_inter;541
25x6_2_U_100_200__R_uni;566
25x6_3_JobCorre_R_inter;231
25x6_3_JobCorre_R_uni;207
25x6_3_MachCorre_R_inter;197
25x6_3_MachCorre_R_uni;217
25x6_3_U_1_100__R_inter;57
25x6_3_U_1_100__R_uni;75
25x6_3_U_10_100__R_inter;91
25x6_3_U_10_100__R_uni;115
25x6_3_U_100_200__R_inter;530
25x6_3_U_100_200__R_uni;545
25x6_4_JobCorre_R_inter;230
25x6_4_JobCorre_R_uni;263
