Instance;min_sol;max_LB
20x2_2_U_1_100__R_uni;376;313
20x2_2_U_10_100__R_inter;427;427
20x2_2_U_10_100__R_uni;443;379
20x2_2_U_100_200__R_inter;1364;1364
20x2_2_U_100_200__R_uni;1393;1324
20x2_3_JobCorre_R_inter;582;553
20x2_3_JobCorre_R_uni;678;660
20x2_3_MachCorre_R_inter;1024;757
20x2_3_MachCorre_R_uni;682;669
20x2_3_U_1_100__R_inter;474;410
20x2_3_U_1_100__R_uni;383;360
20x2_3_U_10_100__R_inter;511;462
20x2_3_U_10_100__R_uni;451;419
20x2_3_U_100_200__R_inter;1466;1404
20x2_3_U_100_200__R_uni;1443;1356
20x2_4_JobCorre_R_inter;527;508
20x2_4_JobCorre_R_uni;495;478
20x2_4_MachCorre_R_inter;200;200
20x2_4_MachCorre_R_uni;751;751
20x2_4_U_1_100__R_inter;369;302
20x2_4_U_1_100__R_uni;318;302
20x2_4_U_10_100__R_inter;395;361
20x2_4_U_10_100__R_uni;371;365
20x2_4_U_100_200__R_inter;1289;1289
20x2_4_U_100_200__R_uni;1325;1305
20x2_5_JobCorre_R_inter;633;513
20x2_5_JobCorre_R_uni;569;561
20x2_5_MachCorre_R_inter;718;640
20x2_5_MachCorre_R_uni;497;489
20x2_5_U_1_100__R_inter;500;449
20x2_5_U_1_100__R_uni;349;330
20x2_5_U_10_100__R_inter;531;504
20x2_5_U_10_100__R_uni;406;393
20x2_5_U_100_200__R_inter;1499;1461
20x2_5_U_100_200__R_uni;1375;1327
20x4_1_JobCorre_R_inter;374;329
20x4_1_JobCorre_R_uni;303;290
20x4_1_MachCorre_R_inter;164;164
20x4_1_MachCorre_R_uni;161;161
20x4_1_U_1_100__R_inter;113;113
20x4_1_U_1_100__R_uni;106;106
20x4_1_U_10_100__R_inter;150;150
20x4_1_U_10_100__R_uni;149;144
20x4_1_U_100_200__R_inter;623;623
20x4_1_U_100_200__R_uni;631;617
20x4_2_JobCorre_R_inter;328;290
20x4_2_JobCorre_R_uni;278;278
20x4_2_MachCorre_R_inter;387;381
20x4_2_MachCorre_R_uni;159;159
20x4_2_U_1_100__R_inter;110;110
20x4_2_U_1_100__R_uni;103;103
20x4_2_U_10_100__R_inter;147;147
20x4_2_U_10_100__R_uni;149;142
20x4_2_U_100_200__R_inter;626;626
20x4_2_U_100_200__R_uni;614;614
20x4_3_JobCorre_R_inter;328;285
20x4_3_JobCorre_R_uni;279;268
20x4_3_MachCorre_R_inter;202;202
20x4_3_MachCorre_R_uni;172;172
